Economy_Label,1995_Diversification_Index_Value,1995_Diversification_Index_Footnote,1995_Diversification_Index_MissingValue,1996_Diversification_Index_Value,1996_Diversification_Index_Footnote,1996_Diversification_Index_MissingValue,1997_Diversification_Index_Value,1997_Diversification_Index_Footnote,1997_Diversification_Index_MissingValue,1998_Diversification_Index_Value,1998_Diversification_Index_Footnote,1998_Diversification_Index_MissingValue,1999_Diversification_Index_Value,1999_Diversification_Index_Footnote,1999_Diversification_Index_MissingValue,2000_Diversification_Index_Value,2000_Diversification_Index_Footnote,2000_Diversification_Index_MissingValue,2001_Diversification_Index_Value,2001_Diversification_Index_Footnote,2001_Diversification_Index_MissingValue,2002_Diversification_Index_Value,2002_Diversification_Index_Footnote,2002_Diversification_Index_MissingValue,2003_Diversification_Index_Value,2003_Diversification_Index_Footnote,2003_Diversification_Index_MissingValue,2004_Diversification_Index_Value,2004_Diversification_Index_Footnote,2004_Diversification_Index_MissingValue,2005_Diversification_Index_Value,2005_Diversification_Index_Footnote,2005_Diversification_Index_MissingValue,2006_Diversification_Index_Value,2006_Diversification_Index_Footnote,2006_Diversification_Index_MissingValue,2007_Diversification_Index_Value,2007_Diversification_Index_Footnote,2007_Diversification_Index_MissingValue,2008_Diversification_Index_Value,2008_Diversification_Index_Footnote,2008_Diversification_Index_MissingValue,2009_Diversification_Index_Value,2009_Diversification_Index_Footnote,2009_Diversification_Index_MissingValue,2010_Diversification_Index_Value,2010_Diversification_Index_Footnote,2010_Diversification_Index_MissingValue,2011_Diversification_Index_Value,2011_Diversification_Index_Footnote,2011_Diversification_Index_MissingValue,2012_Diversification_Index_Value,2012_Diversification_Index_Footnote,2012_Diversification_Index_MissingValue,2013_Diversification_Index_Value,2013_Diversification_Index_Footnote,2013_Diversification_Index_MissingValue,2014_Diversification_Index_Value,2014_Diversification_Index_Footnote,2014_Diversification_Index_MissingValue,2015_Diversification_Index_Value,2015_Diversification_Index_Footnote,2015_Diversification_Index_MissingValue,2016_Diversification_Index_Value,2016_Diversification_Index_Footnote,2016_Diversification_Index_MissingValue,2017_Diversification_Index_Value,2017_Diversification_Index_Footnote,2017_Diversification_Index_MissingValue,2018_Diversification_Index_Value,2018_Diversification_Index_Footnote,2018_Diversification_Index_MissingValue,2019_Diversification_Index_Value,2019_Diversification_Index_Footnote,2019_Diversification_Index_MissingValue,2020_Diversification_Index_Value,2020_Diversification_Index_Footnote,2020_Diversification_Index_MissingValue,2021_Diversification_Index_Value,2021_Diversification_Index_Footnote,2021_Diversification_Index_MissingValue,2022_Diversification_Index_Value,2022_Diversification_Index_Footnote,2022_Diversification_Index_MissingValue,2023_Diversification_Index_Value,2023_Diversification_Index_Footnote,2023_Diversification_Index_MissingValue,2024_Diversification_Index_Value,2024_Diversification_Index_Footnote,2024_Diversification_Index_MissingValue
"Afghanistan",0.764,"Estimated",,0.762,"Estimated",,0.792,"Estimated",,0.764,"Estimated",,0.798,"Estimated",,0.829,"Estimated",,0.808,"Estimated",,0.766,"Estimated",,0.773,"Estimated",,0.787,"Estimated",,0.772,"Estimated",,0.765,"Estimated",,0.784,"Estimated",,0.765,"Estimated",,0.794,"Estimated",,0.785,"Estimated",,0.77,"Estimated",,0.773,"Estimated",,0.778,"Estimated",,0.801,"Estimated",,0.82,"Estimated",,0.824,"Estimated",,0.825,"Estimated",,0.837,"Estimated",,0.853,"Estimated",,0.863,"Estimated",,0.857,"Estimated",,0.851,"Estimated",,0.851,"Estimated",,0.862,"Estimated",
"Albania",0.723,"Estimated",,0.71,"Estimated",,0.71,"Estimated",,0.719,"Estimated",,0.724,"Estimated",,0.75,"Estimated",,0.749,"Estimated",,0.711,"Estimated",,0.711,"Estimated",,0.715,"Estimated",,0.727,"Estimated",,0.738,"Estimated",,0.699,"Estimated",,0.609,"Estimated",,0.625,"Estimated",,0.717,"Estimated",,0.697,"Estimated",,0.698,"Estimated",,0.715,"Estimated",,0.709,"Estimated",,0.702,"Estimated",,0.712,"Estimated",,0.715,"Estimated",,0.714,"Estimated",,0.689,"Estimated",,0.705,"Estimated",,0.699,"Estimated",,0.688,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.694,"Estimated",,0.695,"Estimated",
"Algeria",0.825,,,0.822,,,0.805,,,0.87,,,0.826,,,0.834,,,0.821,,,0.836,,,0.819,,,0.829,,,0.814,,,0.803,,,0.804,,,0.764,,,0.794,,,0.784,,,0.72,,,0.726,,,0.734,,,0.746,,,0.783,,,0.814,,,0.791,,,0.807,,,0.806,,,0.829,,,0.815,,,0.778,,,0.793,,,0.8,,
"American Samoa",0.529,"Estimated",,0.527,"Estimated",,0.532,"Estimated",,0.535,"Estimated",,0.535,"Estimated",,0.675,"Estimated",,0.656,"Estimated",,0.755,"Estimated",,0.691,"Estimated",,0.706,"Estimated",,0.625,"Estimated",,0.736,"Estimated",,0.708,"Estimated",,0.702,"Estimated",,0.637,"Estimated",,0.672,"Estimated",,0.679,"Estimated",,0.669,"Estimated",,0.7,"Estimated",,0.693,"Estimated",,0.62,"Estimated",,0.736,"Estimated",,0.669,"Estimated",,0.705,"Estimated",,0.673,"Estimated",,0.643,"Estimated",,0.667,"Estimated",,0.564,"Estimated",,0.595,"Estimated",,0.695,"Estimated",
"Andorra",0.574,"Estimated",,0.583,"Estimated",,0.58,"Estimated",,0.578,"Estimated",,0.559,"Estimated",,0.515,"Estimated",,0.529,"Estimated",,0.546,"Estimated",,0.591,"Estimated",,0.593,"Estimated",,0.613,"Estimated",,0.612,"Estimated",,0.548,"Estimated",,0.525,"Estimated",,0.519,"Estimated",,0.516,"Estimated",,0.509,"Estimated",,0.537,"Estimated",,0.557,"Estimated",,0.493,"Estimated",,0.549,"Estimated",,0.545,"Estimated",,0.506,"Estimated",,0.537,"Estimated",,0.544,"Estimated",,0.582,"Estimated",,0.592,"Estimated",,0.656,"Estimated",,0.617,"Estimated",,0.54,,
"Angola",0.815,"Estimated",,0.812,"Estimated",,0.829,"Estimated",,0.835,"Estimated",,0.845,"Estimated",,0.82,"Estimated",,0.863,"Estimated",,0.855,"Estimated",,0.843,"Estimated",,0.868,"Estimated",,0.862,"Estimated",,0.847,"Estimated",,0.834,"Estimated",,0.842,"Estimated",,0.837,"Estimated",,0.844,"Estimated",,0.828,"Estimated",,0.843,"Estimated",,0.842,"Estimated",,0.86,"Estimated",,0.894,"Estimated",,0.894,"Estimated",,0.884,"Estimated",,0.887,"Estimated",,0.885,"Estimated",,0.901,"Estimated",,0.894,"Estimated",,0.86,"Estimated",,0.884,"Estimated",,0.868,"Estimated",
"Anguilla",0.513,"Estimated",,0.561,"Estimated",,0.504,"Estimated",,0.484,"Estimated",,0.501,"Estimated",,0.557,"Estimated",,0.603,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.545,"Estimated",,0.513,"Estimated",,0.564,"Estimated",,0.55,"Estimated",,0.685,"Estimated",,0.565,"Estimated",,0.588,"Estimated",,0.603,"Estimated",,0.577,"Estimated",,0.599,"Estimated",,0.608,"Estimated",,0.642,"Estimated",,0.648,"Estimated",,0.622,"Estimated",,0.626,"Estimated",,0.609,"Estimated",,0.619,"Estimated",,0.731,"Estimated",,0.702,"Estimated",,0.68,"Estimated",,0.64,"Estimated",,0.57,"Estimated",,0.606,"Estimated",
"Antigua and Barbuda",0.651,"Estimated",,0.674,"Estimated",,0.639,"Estimated",,0.533,"Estimated",,0.569,"Estimated",,0.78,"Estimated",,0.76,"Estimated",,0.797,"Estimated",,0.781,"Estimated",,0.72,"Estimated",,0.769,"Estimated",,0.782,"Estimated",,0.656,"Estimated",,0.695,"Estimated",,0.523,"Estimated",,0.514,"Estimated",,0.787,"Estimated",,0.593,"Estimated",,0.741,"Estimated",,0.777,"Estimated",,0.835,"Estimated",,0.778,"Estimated",,0.753,"Estimated",,0.761,"Estimated",,0.85,"Estimated",,0.863,"Estimated",,0.846,"Estimated",,0.756,"Estimated",,0.734,"Estimated",,0.771,"Estimated",
"Argentina",0.57,,,0.578,,,0.557,,,0.575,,,0.571,,,0.554,,,0.554,,,0.582,,,0.586,,,0.569,,,0.554,,,0.549,,,0.581,,,0.577,,,0.559,,,0.588,,,0.614,,,0.596,,,0.61,,,0.62,,,0.648,,,0.668,,,0.661,,,0.708,,,0.724,,,0.724,,,0.736,,,0.697,,,0.639,,,0.671,,
"Armenia",0.6,"Estimated",,0.594,"Estimated",,0.652,"Estimated",,0.68,"Estimated",,0.712,"Estimated",,0.721,"Estimated",,0.713,"Estimated",,0.745,"Estimated",,0.77,"Estimated",,0.743,"Estimated",,0.77,"Estimated",,0.755,"Estimated",,0.699,"Estimated",,0.708,"Estimated",,0.723,"Estimated",,0.739,"Estimated",,0.73,"Estimated",,0.693,"Estimated",,0.74,"Estimated",,0.755,"Estimated",,0.779,"Estimated",,0.755,"Estimated",,0.748,"Estimated",,0.744,"Estimated",,0.762,"Estimated",,0.777,"Estimated",,0.769,"Estimated",,0.657,"Estimated",,0.671,"Estimated",,0.741,"Estimated",
