Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225581644702.568,247923887214.655,269322281664.773,287031225987.736
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,60770049747.3832,85629598654.1906,90506061877.2765,81193813808.0382,58512033805.8981,78283923543.8237,128233959333.275,106042349567.303,103080538044.058,122174889423.635
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,15082637184.0496,16105155856.7708,17031943186.1353,16725908148.5481,14960251607.8135,18750182236.2211,20321150599.1523,19413614554.6944,19286251067.5078,19928479839.4476
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,11821065853.3838,12701655836.9467,14262408089.9261,14391686313.4641,15686741883.934,17687623530.3355,17425405090.862,19673291004.1444,21482643706.4249,24566420903.5337
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,12833363045.3367,14106955615.3442,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18622421394.6133,20106062971.6533,23136514855.7646,27627297461.3181
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2618093125.14687,2831362208.34039,2913411408.44783,2871555326.31029,3188355943.63513,3425127990.70519,4020736756.64256,3419558408.35408,3037579858.38142,3364713864.08488
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1849789985.99572,1996741539.95088,2205099506.99994,2252177124.32402,1821565613.68613,2051842618.70539,2247003344.34242,2504525537.51069,2713721857.39153,3056630435.32463
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,33814337044.3765,36098547033.1655,39955552189.795,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,48814501547.4313,53296694320.2057,58933453923.761
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1825018144.65595,2072349972.6818,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,2555492085.94725,2751494281.06887,3066109226.40165
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,13026289835.7789,13349041408.7152,15327000248.8701,14905517742.8454,14932897821.2387,16871937697.5854,17828508289.6049,18352937976.2179,19906706689.7582,21472835225.4338
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1012835493.19325,1077439756.59451,1188797449.38584,1195019531.9011,1225039196.61091,1299039312.22277,1279542248.96288,1465977684.31307,1610082688.26617,1814920856.27026
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,10931328150.8478,11834473039.3645,14773900288.5135,13976637779.9763,11468687464.0046,14825690210.9157,15817030154.6941,15321055822.5167,15719986076.6464,16306633778.765
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,38600224214.4728,37537521565.5308,46659954092.4862,46845900350.0332,46691989748.9186,59067289573.5102,70422346142.2023,69843655425.2929,75716176105.0704,91030531316.9936
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,2604955228.70117,2762581334.22612,2913464658.08768,3088851450.30694,3144136196.6228,3392796953.08939,3562814908.76149,3898447007.38798,4152145939.98458,4624533092.31886
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,395926071447.591,389059910593.1,365254630179.737
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,3722306116.72872,4462640651.49219,4643751059.28203,4617018958.69086,4134677809.50096,4807069277.20114,4746660273.50829,4621191261.84214,4858885840.77236,5160679612.81734
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,68475871209.607,76366081766.6667,83337901071.9697,91834517113.6386,98676811061.9985,109070960370.972,123140304665.399,135874093203.18,149740297952.375,126358758448.356
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,11240808847.8878,12200913878.9827,13097012133.6159,11364133549.7478,9893816007.7398,12215878032.7166,13687643435.6249,12541814272.8021,13254388261.1258,12823210425.9217
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,14023890265.3665,14929487485.1623,16867326401.9626,16874405465.391,15342236163.9943,19444935097.2333,20440655695.229,19388372070.9778,20895684425.6752,21427119323.2764
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1484578885.97132,1504909462.69521,1670671327.81651,1813609692.49994,1812170891.19069,2014158842.14596,2204734527.88096,2382262185.38179,2404888737.54853,2593673987.53306
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,56144179397.8516,60385409434.8567,67259353965.6087,68352629246.1555,70008243859.8666,79514204730.3979,73919003212.1998,80547146875.9526,83288585604.0268,114209905278.717
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,74815144163.8931,82036510877.2599,92202979985.2863,100378436207.371,100657505750.545,109703658904.994,114448978152.637,107500884685.013,120397537849.826,135941278878.815
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2114426452.2019,2306741672.29006,2556247291.99785,2390702295.82777,2053699863.99625,2412130056.55851,2354980960.02697,2129871529.52517,2391282547.80028,2573572920.05159
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,49912073701.298,67157452181.7738,76686029772.1483,69254496471.6938,46854285440.642,35217995647.2862,43246297921.8499,44027664915.187,48487151215.345,48098909613.6316
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,3398419600,3390703400,3422754800,3319596500,3176126300,3513049500,4001047000,4390000000,4779300900,5245938900
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,7909868618.46366,8943543793.5839,9879220354.29186,11051852712.6142,11769313597.8545,12378119199.0839,12429059928.102,13363669672.9405,11311971400.3864,14918276698.303
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,16743796799.8329,18308362040.0521,20368015381.2413,20477421884.5414,20698560938.7775,22999245262.6719,22539987718.7642,24777941860.767,26761281076.7658,30069148580.7688
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,6407900701.25829,6812472965.33868,7475471309.52265,7894764885.82312,8260567356.81635,9221044666.76483,9562497460.55394,10687541640.1299,10879212033.4823,11679910946.4371
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,12757680846.5663,13896938315.2799,14957535715.9696,14645235204.6176,11566111137.5568,11622048696.8129,12936444123.3037,14072212290.4596,14938055690.3609,16157804491.7614
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,111572947004.917,118540573367.844,127341147581.818,128920266409.458,121353645057.144,142022058447.231,131245312804.483,146036093666.762,160610994054.734,182374250612.28
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,12069051237.1711,13264640645.7768,15017358952.8452,15512759046.672,14235420174.1884,16168055475.4449,18884232598.8698,20927498317.3094,22752244245.473,22337997046.1913
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,10722018732.0936,12895153370.9132,13682019076.4022,12541928303.48,10583748541.5258,12402486183.6396,12569449123.3661,12522012873.7957,13641190683.4641,15080340653.5276
