"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10","2025-M11","2025-M12","2026-M01","2026-M02","2026-M03","2026-M04","2026-M05","2026-M06"
"IMF.STA:ER(4.0.1)","TZA.XDC_USD.EOP_RT.M","OBS_VALUE","Tanzania, United Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","2517.275","2543.235","2556.94","2572.66","2600.85","2626.93","2673.865","2681.66","2718.475","2693.13","2620.57","2394.755","2486.64","2581.29","2649.975","2679.2","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDC_USD.PA_RT.M","OBS_VALUE","Tanzania, United Republic of","Domestic currency per US Dollar","Period average","Monthly","Units","2508.102","2526.181","2545.392","2571.241","2587.399","2610.604","2641.853","2678.158","2694.459","2715.008","2647.144","2449.264","2449.766","2556.115","2621.265","2667.742","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","ETH.XDC_USD.EOP_RT.M","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","56.1663","56.4624","56.6236","56.9193","57.0504","57.3265","75.3302","111.2108","119.2766","120.9588","124.9256","125.9644","126.3713","126.5785","129.9475","131.5649","134.3395","135.3711","137.9485","141.6998","146.4188","","","","","","","","",""
"IMF.STA:ER(4.0.1)","ETH.XDC_USD.PA_RT.M","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Domestic currency per US Dollar","Period average","Monthly","Units","56.0949","56.3217","56.5468","56.7751476190476","56.987365","57.2004262314386","59.7631661369092","105.923872541398","116.707729456145","120.7302","122.640942857143","125.523786363636","126.350022727273","126.60571","129.128369215923","130.707485714286","132.864915","134.717685","136.765913043478","140.393133333333","143.8161","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TUN.XDC_USD.PA_RT.M","OBS_VALUE","Tunisia","Domestic currency per US Dollar","Period average","Monthly","Units","3.1013","3.1259","3.11","3.1413","3.1229","3.1293","3.1119","3.065","3.0426","3.0857","3.1417","3.1118","3.2","3.1824","3.1038","3.0102","2.993","2.9427","2.9096","2.9145","2.9104","2.934","","","","","","","",""
"IMF.STA:ER(4.0.1)","TUN.XDC_USD.EOP_RT.M","OBS_VALUE","Tunisia","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","3.1191","3.1193","3.1279","3.1453","3.1164","3.1415","3.1065","3.0485","3.0275","3.097","3.1476","3.1845","3.1876","3.1832","3.1054","2.9871","2.9853","2.9091","2.9549","2.9119","2.9118","2.9507","","","","","","","",""
"IMF.STA:ER(4.0.1)","KEN.XDC_USD.PA_RT.M","OBS_VALUE","Kenya","Domestic currency per US Dollar","Period average","Monthly","Units","159.694031818182","151.839942857143","137.353665","131.56968","131.690519047619","129.3613","129.871134782609","129.323290909091","129.204438095238","129.1999","129.39866","129.363236842105","129.3906","129.302915","129.334805","129.51350952381","129.268261904762","129.252763157895","129.2394","129.239333333333","129.242077272727","129.23872","129.481865","129.126615","","","","","",""
"IMF.STA:ER(4.0.1)","GHA.XDC_USD.EOP_RT.M","OBS_VALUE","Ghana","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","12.0356","12.4642","12.877","13.2739","14.1301","14.586","14.9009","15.1899","15.8","16.3","15.27","14.7","15.3001","15.53","15.53","14.15","10.28","10.31","10.5","11.4","12.42","10.9","11.27","10.45","10.95","","","","",""
"IMF.STA:ER(4.0.1)","COD.XDC_USD.EOP_RT.M","OBS_VALUE","Congo, Democratic Republic of the","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","2730.9967","2766.62020241899","2786.53959714266","2782.8311","2812.72713939133","2846.667","2848.7616","2817.05631888649","","","","2850.87825784777","2848.4772","2854.2501","2861.1318","2847.35520617254","2864.02718926288","2866.25873284778","2874.6532","2855.503","2548.8048","2261.17930338443","2218.7204885431","2181.39047825858","2138.4439364343","","","","",""
"IMF.STA:ER(4.0.1)","KEN.XDC_USD.EOP_RT.M","OBS_VALUE","Kenya","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","160.751","143.5891","131.8005","133.2789","130.2333","129.527","129.9225","129.1747","129.1957","129.195833333333","129.6754","129.2927","129.2292","129.2256","129.3165","129.5004","129.2417","129.2343","129.2394","129.2398","129.2404","129.2394","129.8194","129.0101","","","","","",""
"IMF.STA:ER(4.0.1)","COD.XDC_USD.PA_RT.M","OBS_VALUE","Congo, Democratic Republic of the","Domestic currency per US Dollar","Period average","Monthly","Units","2697.8890421947","2737.24483383465","2781.41985942853","2781.74362288193","2791.98543851897","2830.02306049917","2838.79782016018","2836.7384","","","","2837.95357723871","2836.98130697476","2852.52755","2859.28819130441","2856.81226009046","2853.82199472486","2864.45645986095","2873.12034409615","2866.06159396623","2770.31241865144","2280.49280438857","2190.3176137274","2214.69467460452","2191.65859055649","","","","",""
"IMF.STA:ER(4.0.1)","GHA.XDC_USD.PA_RT.M","OBS_VALUE","Ghana","Domestic currency per US Dollar","Period average","Monthly","Units","11.9344","12.2301","12.6674","13.081","13.7823","14.3274","14.7467","15.1037","15.5575","15.9889","15.9834","14.7805","14.972","15.486","15.5316","15.2216","12.0751","10.284","10.417","10.7875","12.1443","11.4607","11.0237","11.2784","10.7921","","","","",""
"IMF.STA:ER(4.0.1)","UGA.XDC_USD.PA_RT.M","OBS_VALUE","Uganda","Domestic currency per US Dollar","Period average","Monthly","Units","3805.03362433863","3873.58773611111","3895.7797368421","3822.6875","3791.40079365079","3747.19052631579","3705.85480676328","3723.64728650138","3711.31308802309","3667.92606749311","3678.64754689755","3664.08171212121","3688.95898760331","3677.70182954545","3667.8645995671","3669.61205681818","3653.39715367965","3605.83843434343","3586.56590909091","3563.92886363636","3507.79020661157","3463.85576446281","3575.136625","3575.22887445887","3562.14371212121","3568.2289354067","3730.53098701299","3716.69922619048","3764.10986772487",""
"IMF.STA:ER(4.0.1)","UGA.XDC_USD.EOP_RT.M","OBS_VALUE","Uganda","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","3815.54166666667","3932.25","3885","3813.20833333333","3812.375","3706.72222222222","3722.90909090909","3716.06","3690.04545454545","3662.05","3688.86","3681.13636363636","3684.76","3678.81909090909","3661.62","3664.66840909091","3631.81886363636","3594.59045454545","3585.02","3550.36","3490","3478.95","3630.09","3619.65","3563.18136363636","3600","3762.57795454545","3749.52","3773.82785714286",""
"IMF.STA:ER(4.0.1)","ZAF.XDC_USD.PA_RT.M","OBS_VALUE","South Africa","Domestic currency per US Dollar","Period average","Monthly","Units","18.79190595","18.993496627","18.869099397","18.87372909","18.421600432","18.416952436","18.253471354","18.028412779","17.627046941","17.5600025","17.9309158","18.1772573","18.72284018","18.496357142","18.282605198","18.908023809","18.101349456","17.835644536","17.758235826","17.729490525","17.46209416","17.284740167","17.229437528","16.8541693","16.278982694","15.9886928","16.738867","16.5389857","16.4806007",""
"IMF.STA:ER(4.0.1)","ZAF.XDC_USD.EOP_RT.M","OBS_VALUE","South Africa","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","18.75489972","19.2629977077033","19.0368133897331","18.736240573329","18.7002922855684","18.2008463393548","18.2380577198051","17.6287871041897","17.1838430633981","17.6355956863333","18.0598648399715","18.7439667856909","18.634049626201","18.4666068348605","18.3689139195956","18.5697917769248","17.8903998325459","17.7804013747806","18.0874019436722","17.7210389490715","17.2801105927078","17.3357094812462","17.1232876712329","16.6079575367742","15.9049014134686","15.911557200457","17.0830372273547","16.7813109895771","16.2260483244171",""
"IMF.STA:ER(4.0.1)","CIV.XDC_USD.PA_RT.M","OBS_VALUE","Côte d'Ivoire","Domestic currency per US Dollar","Period average","Monthly","Units","601.51196475391","607.66499477259","603.3341917919096","611.4574557334499","606.6807360353961","609.6821265916907","604.8983216659705","595.6648835174171","590.6329911759409","601.5554625199338","617.0726102323498","625.9878325181916","633.5467244997577","629.9707082833133","606.9848816662948","584.9473200790087","581.6228323882468","569.5954763479985","561.7575809478419","563.9522230410214","559.1069664366606","564.0004112149531","567.4270341343575","560.2297434145511","558.8206634402013","554.7697681400886","567.5194173420953","560.340497505638","561.9341740054141","569.5059906233721"
"IMF.STA:ER(4.0.1)","CIV.XDC_USD.EOP_RT.M","OBS_VALUE","Côte d'Ivoire","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","605.2939005259758","605.9089229632366","606.7496068818796","612.0143683523045","604.4572429045337","612.7575899112564","605.7970077576653","591.6451700189411","585.8851375491247","602.7908472707223","621.0537776936186","631.3957069977861","631.1526989319734","630.0614734415522","606.5251964863616","576.7669040710455","578.4963400652615","559.6902730375426","573.0884151668705","562.6668382226797","558.6892087556426","567.731521550978","567.1424865986512","558.2612765957447","550.345666582767","555.6603134265142","570.4966081057575","560.55118783114","563.3433527997252","575.7038792346849"
"IMF.STA:ER(4.0.1)","CMR.XDC_USD.PA_RT.M","OBS_VALUE","Cameroon","Domestic currency per US Dollar","Period average","Monthly","Units","601.51196475391","607.66499477259","603.3341917919096","611.4574557334499","606.6807360353961","609.6821265916907","604.8983216659705","595.6648835174171","590.6329911759409","601.5554625199338","617.0726102323498","625.9878325181916","633.5467244997577","629.9707082833133","606.9848816662948","584.9473200790087","581.6228323882468","569.5954763479985","561.7575809478419","563.9522230410214","559.1069664366606","564.0004112149531","567.4270341343575","560.2297434145511","558.8206634402013","554.7697681400886","567.5194173420953","560.340497505638","561.9341740054141","569.5059906233721"
"IMF.STA:ER(4.0.1)","CMR.XDC_USD.EOP_RT.M","OBS_VALUE","Cameroon","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","605.2939005259758","605.9089229632366","606.7496068818796","612.0143683523045","604.4572429045337","612.7575899112564","605.7970077576653","591.6451700189411","585.8851375491247","602.7908472707223","621.0537776936186","631.3957069977861","631.1526989319734","630.0614734415522","606.5251964863616","576.7669040710455","578.4963400652615","559.6902730375426","573.0884151668705","562.6668382226797","558.6892087556426","567.731521550978","567.1424865986512","558.2612765957447","550.345666582767","555.6603134265142","570.4966081057575","560.55118783114","563.3433527997252","575.7038792346849"
"IMF.STA:ER(4.0.1)","NGA.XDC_USD.PA_RT.M","OBS_VALUE","Nigeria","Domestic currency per US Dollar","Period average","Monthly","Units","944.083604545454","1505.30276190476","1511.34305","1237.05772222222","1436.06768181818","1482.26623529412","1560.22465217391","1587.39436363636","1618.21775","1641.11886363636","1670.77642857143","1553.729255","1535.94617727273","1500.92158","1526.36942","1595.05089986261","1595.20453961742","1549.79426111111","1530.30128636364","1534.78358571429","1497.78961904762","1459.58605909091","1443.85004","1450.97390952381","1416.51812380952","1355.528565","1379.98188","1361.218485","1369.99557015773",""
"IMF.STA:ER(4.0.1)","NGA.XDC_USD.EOP_RT.M","OBS_VALUE","Nigeria","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","1357.383","1544.581","1330.76","1330.205","1483.482","1470.691","1611.71","1596.64","1601.53","1670.47","1663.896","1535.82","1478.22","1492.491","1536.82","1596.6891","1586.1524","1529.7105","1533.55","1530.5703","1475.3473","1421.7343","1446.7421","1435.7571","1386.5532","1363.3954","1386.7156","1374.9431","1373.2545",""
"IMF.STA:ER(4.0.1)","AGO.XDC_USD.EOP_RT.M","OBS_VALUE","Angola","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","828.776","828.514","832.633","834.06","852.223","853.629","876.055","912.35","940.111","909.051","910.982","912","912","912","912","912","911.955","911.955","911.955","911.955","911.978","911.978","911.545","912.286","912.133","912.131","912.13","913.116","913.116",""
"IMF.STA:ER(4.0.1)","AGO.XDC_USD.PA_RT.M","OBS_VALUE","Angola","Domestic currency per US Dollar","Period average","Monthly","Units","828.763454545455","828.483105263158","831.983210526316","833.06855","842.488727272727","852.76313","870.800608695652","888.273318181818","926.495947368421","911.797652173913","910.30615","912.930421052632","912","912","912","912","911.9527","911.955","911.953043478261","911.955","911.957190476191","911.977999999999","911.958072222222","912.207447619048","912.13495","912.152588235294","912.126761904762","912.785619047619","913.116",""
"IMF.STA:ER(4.0.1)","MAR.XDC_USD.EOP_RT.M","OBS_VALUE","Morocco","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","10.0311","10.081","10.094","10.0965","9.953","9.9693","9.9116","9.7259","9.6975","9.8444","10.0023","10.1114","10.0377","9.9638","9.6607","9.2618","9.2422","9.0231","9.1426","9.0187","9.0947","9.2843","9.2782","9.1283","9.084","9.1591","9.3374","9.2477","9.1927",""
"IMF.STA:ER(4.0.1)","MAR.XDC_USD.PA_RT.M","OBS_VALUE","Morocco","Domestic currency per US Dollar","Period average","Monthly","Units","9.9619","10.0613428571429","10.0636380952381","10.1105578947368","9.98452272727273","9.94588333333333","9.87186818181818","9.76888421052632","9.72387","9.8413","9.95428421052632","10.0202590909091","10.0370714285714","9.9913","9.6975","9.3574","9.251","9.1339","9.0195","9.04442222222222","9.034","9.18503","9.2736","9.1786","9.1634","9.1523","9.3435","9.27873636363636","9.1917",""
"IMF.STA:ER(4.0.1)","EGY.XDC_USD.EOP_RT.M","OBS_VALUE","Egypt, Arab Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","30.8414","30.8414","47.16","47.7997","47.2271","47.982","48.524","48.5719","48.2469","48.9023","49.5458","50.7866","50.1883","50.61","50.5291","50.7467","49.6983","49.5476","48.6244","48.5353","47.8306","47.1714","47.5321","47.6266","46.8643","47.8714","54.5366","53.5663","52.2297",""
"IMF.STA:ER(4.0.1)","EGY.XDC_USD.PA_RT.M","OBS_VALUE","Egypt, Arab Republic of","Domestic currency per US Dollar","Period average","Monthly","Units","30.84112","30.8414","45.3564","47.833","47.1329","47.6971","48.14886","48.89778","48.42223","48.55651","49.3501","50.51372","50.36767","50.4448","50.5638","51.0197","50.1647","49.9774","49.2009","48.4336","48.1706","47.5276","47.3451","47.5172","47.1991","47.1484","51.9469","52.9108","52.9655",""
"IMF.STA:ER(4.0.1)","DZA.XDC_USD.EOP_RT.M","OBS_VALUE","Algeria","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","134.6662","134.4165","134.4892","134.4408","134.5621","134.6152","134.4339","133.7616","132.1215","133.2208","133.3432","135.6577","135.1448","135.0297","133.7197","132.2952","132.1047","129.3754","130.7381","129.7069","129.4693","130.3731","130.3094","129.5679","129.2009","129.777","133.2291","132.5429","133.1054","133.227"
"IMF.STA:ER(4.0.1)","DZA.XDC_USD.PA_RT.M","OBS_VALUE","Algeria","Domestic currency per US Dollar","Period average","Monthly","Units","134.4215","134.4498","134.4495","134.4717","134.4136","134.4992","134.3518","134.2022","132.4733","133.1662","133.5051","134.235","135.5028","134.9935","133.6405","132.6487","132.6543","130.5514","129.7866","129.929","129.4937","129.9721","130.3997","129.6988","129.684","129.6949","131.8806","132.399","132.5521","133.2556"
