Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,225581644702.568,247923887214.655,269322281664.773,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,131212208930.344,107167747140.127,100998916781.079,..
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,17425405090.862,19673291004.1444,21482643706.4249,..
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,20321150599.1523,19411266967.1044,19402063512.9066,..
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,18622421394.6133,20112614449.2039,23124729853.0218,..
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,4036192552.88879,3430949249.91221,3082433067.32634,..
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,2247003344.34242,2504525548.71164,2725414150.72735,..
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,44347206072.5513,48814501547.4313,53296694320.2057,..
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2382618615.01694,2555492085.94725,2751494281.06887,..
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1222485532.31976,1326836543.00797,1440991455.45188,..
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,70422346142.2023,69843655425.2929,70962185790.7094,..
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,15817030154.6941,15321055822.5167,15719986076.6464,..
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,70922824813.9102,80780312569.1646,87113179149.284,..
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,3562814908.76149,3898447007.38798,4152145939.98458,..
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4746660273.50829,4621191261.84214,4858885840.77236,..
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,13687643435.6249,12337550583.754,12765777677.0622,..
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,123140304666,135874093202.492,149740297952.986,..
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,20440655695.1804,19388372070.9778,20895684425.6752,..
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,73919003209.9866,80547146878.3843,82308110386.4641,..
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1859601384.05928,2127688181.12014,2218393804.54798,..
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,114448978152.637,107500884685.013,120339557905.932,..
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2354980960.02697,2117962445.37471,2271759454.51107,..
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,4001047000,4390000000,4779300900,..
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,43246297921.8499,44027664915.187,48487151215.345,..
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,12429059928.102,13363669672.9405,11316411329.4619,..
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,22539987718.7642,24813860598.5307,26794747239.8805,..
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,9557966698.25369,10726838461.3987,10908045686.8808,..
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,12936444123.3037,14072212290.4596,14937861786.17,..
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,131245312804.483,146036093666.762,160610994054.734,..
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,18883528581.3734,20921079532.6094,22745341305.0622,..
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,12569449123.3661,12408271449.2244,13372354511.716,..
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,15433852712.2963,16698786977.59,19876128485.7857,..
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,646950257577.814,487387801880.597,252261880141.151,..
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,540809499.189348,690456806.696406,822154621.088897,..
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,27783332222.6759,30696331295.7826,32808056600.9436,..
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,2018346588.73752,2187379754.66167,2167239562.46013,..
