Economy_Label,1995_US_at_current_prices_in_millions_Value,1995_US_at_current_prices_Footnote,1995_US_at_current_prices_MissingValue,1996_US_at_current_prices_in_millions_Value,1996_US_at_current_prices_Footnote,1996_US_at_current_prices_MissingValue,1997_US_at_current_prices_in_millions_Value,1997_US_at_current_prices_Footnote,1997_US_at_current_prices_MissingValue,1998_US_at_current_prices_in_millions_Value,1998_US_at_current_prices_Footnote,1998_US_at_current_prices_MissingValue,1999_US_at_current_prices_in_millions_Value,1999_US_at_current_prices_Footnote,1999_US_at_current_prices_MissingValue,2000_US_at_current_prices_in_millions_Value,2000_US_at_current_prices_Footnote,2000_US_at_current_prices_MissingValue,2001_US_at_current_prices_in_millions_Value,2001_US_at_current_prices_Footnote,2001_US_at_current_prices_MissingValue,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue
"Algeria",3062,,,2752,,,2658,,,2711,,,2403,,,2465,,,2470,,,2892,,,2910,,,3783,,,3742,,,3892,,,5146,,,7959,,,5904,,,6044,,,9975,,,9182,,,9422,,,10567,,,8967,,,8118,,,8621,,,,,,,,,,,,,,,,,,,,
"Angola",,,,,,,,,,,,,,,,,,,,,,,,,,,,1345,,,1331,,,1783,,,1783,,,3273,,,3069,,,2569,,,3604,,,5379,,,4419,,,4615,,,2875,,,1979,,,2783,,,3326,,,2792,,,2149,,,2086,,,3186,,,2260,,
"Benin",,,,,,,,,,174,,,156,,,118,,,121,,,168,,,208,,,209,,,261,,,296,,,498,,,606,,,475,,,824,,,699,,,885,,,1090,,,1585,,,1033,,,1299,,,1688,,,1579,,,1120,,,877,,,1210,,,1160,,,1290,,
"Botswana",,,,,,,,,,,,,,,,260,,,228,,,486,,,497,,,421,,,398,,,381,,,468,,,555,,,541,,,654,,,722,,,780,,,621,,,656,,,644,,,625,,,625,,,725,,,776,,,777,,,892,,,1021,,,978,,
"Burkina Faso",95,,,120,,,103,,,140,,,111,,,76,,,103,,,113,,,129,,,137,,,176,,,191,,,223,,,294,,,287,,,287,,,365,,,420,,,469,,,398,,,371,,,415,,,426,,,489,,,410,,,441,,,494,,,584,,,623,,
"Burundi",59,,,23,,,24,,,34,,,17,,,36,,,20,,,18,,,23,,,16,,,18,,,95,,,54,,,37,,,44,,,57,,,281,,,306,,,102,,,86,,,69,,,100,,,149,,,135,,,141,,,135,,,153,,,164,,,,,
"Cabo Verde",,,,,,,89,,,77,,,80,,,71,,,81,,,84,,,105,,,126,,,129,,,152,,,185,,,214,,,185,,,187,,,223,,,194,,,227,,,212,,,191,,,202,,,233,,,238,,,266,,,241,,,264,,,330,,,345,,
"Cameroon",184,,,158,,,233,,,229,,,244,,,257,,,278,,,329,,,376,,,435,,,441,,,498,,,610,,,847,,,843,,,767,,,1091,,,1130,,,1467,,,1291,,,1177,,,1070,,,1172,,,1216,,,1328,,,1274,,,1541,,,,,,,,
"Central African Republic",34,,,17,,,17,,,21,,,15,,,17,,,16,,,11,,,21,,,27,,,30,,,1,,,34,,,45,,,78,,,54,,,62,,,59,,,43,,,76,,,67,,,59,,,85,,,75,,,91,,,85,,,98,,,104,,,135,,
"Chad",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comoros",28,,,23,,,24,,,20,,,14,,,15,,,13,,,14,,,16,,,27,,,28,,,28,,,23,,,57,,,69,,,67,,,85,,,85,,,73,,,78,,,96,,,94,,,83,,,87,,,85,,,86,,,82,,,,,,,,
"Congo",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,287,,,382,,,295,,,393,,,445,,,566,,,614,,,526,,,445,,,625,,,533,,,554,,,601,,,749,,,895,,,,,
