Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Algeria,DZA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.6307227,-0.988979899999999,-1.0443964,-0.9941078,-0.8163111,-0.8390331,-0.6215313,-0.4436557,-0.479348,-0.5819677,-0.6151584,-0.3918564,-0.4094732,-0.453743099999999,-0.4058013,-0.6220502,-0.6299526,-0.6412808,-0.5404682,-0.538513599999999,-0.620545999999999,-0.635634599999999,-0.6509952,-0.6430769,-0.6397452,-0.5933952
Algeria,DZA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.9458618,-1.1010212,-1.2303648,-0.6344911,-0.6343434,-0.630240399999999,-0.743434199999999,-0.7722123,-0.7353577,-0.754288499999999,-0.7992988,-0.7700849,-0.833268,-0.820280599999999,-0.7149392,-0.836116699999999,-0.8774318,-0.860594099999999,-0.8676221,-0.853582899999999,-0.845730299999999,-0.7746944,-0.7553319,-0.798385,-0.7329544,-0.6967772
Angola,AGO,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.11607529999999,-1.2767286,-1.2804297,-1.3041443,-1.3231498,-1.2228664,-1.2940835,-1.2967958,-1.2804167,-1.2699259,-1.27248349999999,-1.32703029999999,-1.3687643,-1.4394482,-1.46090079999999,-1.48643939999999,-1.4857649,-1.4881942,-1.4208093,-1.18178199999999,-0.9647988,-0.891832299999999,-0.6416506,-0.6031537,-0.6242518,-0.6225793
Angola,AGO,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.570214,-1.46266379999999,-1.46330349999999,-1.4961635,-1.6751143,-1.4539069,-1.3592364,-1.326343,-1.3309729,-1.2534243,-1.2297726,-1.23819369999999,-1.3083456,-1.34388359999999,-1.3625741,-1.3052002,-1.3086297,-1.3287764,-1.3317055,-1.11055219999999,-1.0519682,-0.9475038,-1.0980135,-1.1625439,-1.1944432,-1.1697408
Benin,BEN,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.7690646,-0.827043099999999,-0.835158,-0.8409028,-0.8428625,-0.5094063,-0.7047019,-0.4278956,-0.3382158,-0.3572345,-0.447944599999999,-0.4991988,-0.4955475,-0.677392,-0.573860199999999,-0.6075837,-0.5072447,-0.433568399999999,-0.402134,-0.292142199999999,-0.2398967,-0.0352655,-0.1642663,-0.1108108,-0.1047671,-0.2407154
Benin,BEN,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.0875553,0.0782823,-0.284381799999999,-0.3909663,-0.471632,-0.3862887,-0.403999,-0.2922983,-0.2593314,-0.3488245,-0.407244599999999,-0.3935015,-0.4510183,-0.427510399999999,-0.4894608,-0.4784921,-0.4157073,-0.3859257,-0.3899186,-0.4319457,-0.395343799999999,-0.393457699999999,-0.3852134,-0.468466,-0.390917399999999,-0.4124793
Botswana,BWA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.9915488,0.990283,0.9811381,0.7836907,1.2396807,0.9443983,1.170669,0.9295641,0.9258834,1.0295129,0.9356014,1.0119522,1.0051672,1.0357782,0.9806396,0.8215662,0.7957375,0.8579361,0.7790808,0.851239,0.8223154,0.7218389,0.7018975,0.6506622,0.6066871,0.6311414
Botswana,BWA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.5926621,0.5904947,0.5903787,0.6399536,0.7788139,0.6737986,0.751192,0.6847205,0.7359892,0.776301,0.7161836,0.7341617,0.7466632,0.7034965,0.5939995,0.5753426,0.4252987,0.3914359,0.4037409,0.4031783,0.4519148,0.33481,0.3719933,0.3434669,0.3322692,0.3120842
Burkina Faso,BFA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.2221588,-0.039316,-0.0198671999999999,-0.0241316,-0.0366614,-0.2919893,-0.3014107,-0.329758899999999,-0.363213299999999,-0.3391636,-0.388786099999999,-0.381726199999999,-0.347665399999999,-0.375203,-0.4520066,-0.4450109,-0.3288238,-0.2212838,-0.1525315,-0.1575363,-0.2008751,-0.2018274,-0.2024751,-0.2342071,-0.2479719,-0.2525569
Burkina Faso,BFA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.5683809,-0.572053199999999,-0.662652799999999,-0.802362199999999,-0.7357604,-0.5249337,-0.5173694,-0.4016298,-0.3620362,-0.3501666,-0.249372099999999,-0.225212499999999,-0.4159968,-0.361949099999999,-0.511934,-0.5499377,-0.5251363,-0.486524199999999,-0.4398187,-0.406209,-0.408522599999999,-0.418916099999999,-0.401084599999999,-0.6266501,-0.7145087,-0.883858599999999
Burundi,BDI,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.8688327,-0.8716083,-0.9095626,-0.7006576,-0.7026173,-0.958209,-1.0594009,-1.0671328,-1.1378989,-1.1482657,-1.1815653,-1.2408811,-1.2549651,-1.3979996,-1.3468046,-1.2665737,-1.2586575,-1.2905502,-1.31264049999999,-1.46464249999999,-1.4706435,-1.3529714,-1.390618,-1.3235206,-1.29205449999999,-1.46248849999999
Burundi,BDI,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.2478356,-1.2415435,-1.244465,-1.2884531,-1.5551255,-1.26135019999999,-1.157865,-1.0092849,-1.0568974,-1.073482,-1.2100316,-1.2592986,-1.2594938,-1.1556781,-1.16960589999999,-1.1036389,-1.3206989,-1.40329029999999,-1.32741439999999,-1.3842373,-1.3300858,-1.32121199999999,-1.3122824,-1.32171369999999,-1.30785589999999,-1.3028277
Cabo Verde,CPV,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.8518842,0.8461359,0.9189392,0.2984646,0.2967351,0.2245775,0.5718588,0.7083824,0.7952378,0.8879289,0.88572,0.8461885,0.9223281,0.8821601,0.8253651,0.8877993,0.888954,0.8563504,0.8080692,0.8724586,0.8894292,0.8002643,0.8975963,0.856269,0.8619303,0.9407675
Cabo Verde,CPV,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.0866875,0.8111488,0.8077815,0.39262,0.3911002,0.2364353,0.6051481,0.7694096,0.7692416,0.7338143,0.6853671,0.5682754,0.5883838,0.6063501,0.596241,0.6666182,0.6784725,0.6852921,0.701514,0.7400744,0.7683294,0.6687901,0.4863826,0.4774863,0.422484,0.424201
Cameroon,CMR,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.1922875,-1.1553371,-1.1590382,-1.3592621,-1.0642977,-1.1561621,-1.2320786,-0.851887899999999,-0.8274568,-0.7677497,-0.7867759,-0.9239071,-1.0477201,-1.2340704,-1.1694764,-1.1800614,-1.0952851,-1.1306679,-1.1579943,-1.1162626,-1.1336941,-1.057706,-1.115647,-1.1102965,-1.1264261,-1.22428539999999
Cameroon,CMR,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.37748,-1.1637989,-1.2720614,-1.2992569,-1.229768,-0.988837299999999,-1.20739479999999,-1.1748767,-1.0838637,-1.0250358,-1.0514621,-1.0110913,-1.0550838,-1.1055169,-1.16956249999999,-1.0563501,-1.0900712,-1.08851489999999,-1.11830689999999,-1.1423927,-1.18924269999999,-1.2272568,-1.2194535,-1.2120562,-1.2400721,-1.2537215
Chad,TCD,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.2927463,-1.2955219,-1.3036368,-1.3093816,-1.4853792,-1.30696719999999,-1.4441465,-1.2943601,-1.3736274,-1.53912579999999,-1.4957,-1.3954646,-1.3655434,-1.37646699999999,-1.4313551,-1.47772829999999,-1.5175651,-1.50292809999999,-1.4572612,-1.46041809999999,-1.4780052,-1.48219979999999,-1.4920803,-1.4663578,-1.48878199999999,-1.3909131
Chad,TCD,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.0856135,-1.090056,-1.0929775,-1.1607173,-1.4535722,-1.19533469999999,-1.51518859999999,-1.555775,-1.5230352,-1.5673711,-1.5384267,-1.5453464,-1.53988439999999,-1.55651839999999,-1.55121589999999,-1.3726839,-1.3612518,-1.4004476,-1.3185396,-1.35745459999999,-1.32118309999999,-1.33343259999999,-1.34307209999999,-1.38191249999999,-1.454847,-1.4446512
"Congo, Dem. Rep.",COD,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.8280343,-1.5961528,-1.6021766,-1.606441,-1.6067882,-1.529402,-1.5329034,-1.5096436,-1.3983526,-1.3199679,-1.3936551,-1.41909129999999,-1.39535909999999,-1.3730997,-1.3705987,-1.4371692,-1.3932852,-1.4189706,-1.4338617,-1.5315596,-1.5570273,-1.4573026,-1.50417239999999,-1.5102589,-1.4890974,-1.5153396
