Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Average,Total,Source,Unit
Angola,2901.0,2204.0,4599.0,3154,3298.0,3157.0,4215.0,3104.0,3569.0,5200.0,3540,35401,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Benin,941.0,809.0,1130.0,706,953.0,881.0,1197.0,826.0,1128.0,1338.0,991,9909,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Botswana,1293.0,1087.0,938.0,958,785.0,1635.0,2664.0,2520.0,2718.0,2990.0,1759,17588,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Burkina Faso,827.0,877.0,487.0,659,711.0,762.0,666.0,602.0,817.0,1120.0,753,7528,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Burundi,119.0,86.0,66.0,81,129.0,168.0,234.0,204.0,222.0,285.0,160,1594,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Cabo Verde,101.0,69.0,121.0,169,160.0,200.0,352.0,252.0,272.0,288.0,198,1984,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Cameroon,1684.0,1950.0,1773.0,1484,1944.0,1749.0,2233.0,1641.0,2634.0,3737.0,2083,20829,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Central African Rep.,13.0,27.0,19.0,10,27.0,34.0,32.0,47.0,36.0,62.0,31,307,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Comoros,7.0,28.0,29.0,79,59.0,56.0,63.0,43.0,44.0,56.0,46,464,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Congo,982.0,1091.0,1024.0,615,653.0,886.0,639.0,669.0,882.0,1186.0,863,8627,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Dem. Rep. of the Congo,,,3437.0,1789,2188.0,3003.0,4178.0,1724.0,2322.0,2639.0,2660,21280,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Cote d Ivoire,2604.0,3283.0,3538.0,3877,5537.0,5252.0,5370.0,5038.0,6088.0,7099.0,4769,47686,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Eswatini,610.0,518.0,592.0,329,286.0,373.0,541.0,441.0,873.0,814.0,538,5377,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Ethiopia,1749.0,2644.0,2878.0,2658,3176.0,2383.0,2302.0,1981.0,2324.0,2544.0,2464,24639,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Gabon,1717.0,1867.0,1227.0,855,1469.0,2034.0,1324.0,1095.0,1537.0,2034.0,1516,15159,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Gambia,51.0,80.0,95.0,55,229.0,51.0,166.0,150.0,121.0,187.0,119,1185,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Ghana,4708.0,5649.0,5197.0,4710,5137.0,5471.0,5850.0,,9071.0,8263.0,6006,54056,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Guinea,534.0,620.0,554.0,645,,,,,,,588,2353,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
Kenya,3755.0,,4399.0,4502,5179.0,5127.0,5249.0,6217.0,6393.0,6645.0,5274,47466,GFI Trade-Related IFFs in Africa 2013-2022,USD millions
