Country,Total,Government,Technology_Sector,Data_Infrastructure,Year,Source
Algeria,39.06,31.68,33.26,52.24,2024,Oxford Insights Government AI Readiness Index 2024
Angola,26.91,19.73,15.87,45.13,2024,Oxford Insights Government AI Readiness Index 2024
Benin,42.97,59.92,24.3,44.68,2024,Oxford Insights Government AI Readiness Index 2024
Botswana,38.16,35.14,30.23,49.12,2024,Oxford Insights Government AI Readiness Index 2024
Burkina Faso,29.28,25.69,21.22,40.92,2024,Oxford Insights Government AI Readiness Index 2024
Burundi,21.13,16.62,18.95,27.84,2024,Oxford Insights Government AI Readiness Index 2024
Cabo Verde,40.67,39.58,27.25,55.19,2024,Oxford Insights Government AI Readiness Index 2024
Cameroon,33.46,30.1,28.64,41.63,2024,Oxford Insights Government AI Readiness Index 2024
Central African Republic,20.26,12.07,19.95,28.77,2024,Oxford Insights Government AI Readiness Index 2024
Chad,22.66,20.94,18.22,28.82,2024,Oxford Insights Government AI Readiness Index 2024
Comoros,26.65,17.22,23.75,38.97,2024,Oxford Insights Government AI Readiness Index 2024
Congo,25.12,22.4,22.71,30.24,2024,Oxford Insights Government AI Readiness Index 2024
Cote d Ivoire,34.69,31.15,26.1,46.81,2024,Oxford Insights Government AI Readiness Index 2024
Democratic Republic of the Congo,22.1,17.96,15.99,32.34,2024,Oxford Insights Government AI Readiness Index 2024
Djibouti,35.19,23.13,32.84,49.61,2024,Oxford Insights Government AI Readiness Index 2024
Egypt,55.63,68.98,42.13,55.77,2024,Oxford Insights Government AI Readiness Index 2024
Equatorial Guinea,27.09,19.28,25.68,36.31,2024,Oxford Insights Government AI Readiness Index 2024
Eritrea,22.2,8.3,23.07,35.22,2024,Oxford Insights Government AI Readiness Index 2024
Eswatini,36.23,29.11,26.2,53.36,2024,Oxford Insights Government AI Readiness Index 2024
Ethiopia,38.34,51.46,21.57,41.98,2024,Oxford Insights Government AI Readiness Index 2024
Gabon,34.15,25.45,27.77,49.22,2024,Oxford Insights Government AI Readiness Index 2024
Gambia,26.95,23.25,19.67,37.92,2024,Oxford Insights Government AI Readiness Index 2024
Ghana,43.3,59.53,25.35,45.03,2024,Oxford Insights Government AI Readiness Index 2024
Guinea,30.21,25.63,22.24,42.77,2024,Oxford Insights Government AI Readiness Index 2024
Guinea Bissau,25.71,14.65,20.46,42.01,2024,Oxford Insights Government AI Readiness Index 2024
Kenya,43.56,56.2,30.98,43.49,2024,Oxford Insights Government AI Readiness Index 2024
Lesotho,28.21,24.66,21.08,38.9,2024,Oxford Insights Government AI Readiness Index 2024
Liberia,23.12,16.58,20.89,31.9,2024,Oxford Insights Government AI Readiness Index 2024
Libya,33.25,16.41,34.53,48.8,2024,Oxford Insights Government AI Readiness Index 2024
Madagascar,28.8,25.3,21.19,39.92,2024,Oxford Insights Government AI Readiness Index 2024
Malawi,29.32,27.85,23.79,36.32,2024,Oxford Insights Government AI Readiness Index 2024
Mali,32.27,26.0,22.44,48.36,2024,Oxford Insights Government AI Readiness Index 2024
Mauritania,41.4,50.12,29.1,44.98,2024,Oxford Insights Government AI Readiness Index 2024
Mauritius,53.94,65.31,32.71,63.81,2024,Oxford Insights Government AI Readiness Index 2024
Morocco,41.78,34.82,36.7,53.82,2024,Oxford Insights Government AI Readiness Index 2024
Mozambique,24.22,20.86,18.23,33.57,2024,Oxford Insights Government AI Readiness Index 2024
Namibia,33.28,28.56,25.36,45.92,2024,Oxford Insights Government AI Readiness Index 2024
Niger,25.74,24.22,17.15,35.87,2024,Oxford Insights Government AI Readiness Index 2024
Nigeria,43.33,59.88,27.11,42.99,2024,Oxford Insights Government AI Readiness Index 2024
Rwanda,51.25,71.44,30.3,52.02,2024,Oxford Insights Government AI Readiness Index 2024
Sao Tome and Principe,29.63,24.82,23.69,40.39,2024,Oxford Insights Government AI Readiness Index 2024
Senegal,46.11,62.37,28.77,47.18,2024,Oxford Insights Government AI Readiness Index 2024
Seychelles,44.77,41.41,36.81,56.09,2024,Oxford Insights Government AI Readiness Index 2024
Sierra Leone,25.34,21.96,17.72,36.33,2024,Oxford Insights Government AI Readiness Index 2024
Somalia,25.32,19.05,20.36,36.54,2024,Oxford Insights Government AI Readiness Index 2024
South Africa,52.91,54.3,39.15,65.28,2024,Oxford Insights Government AI Readiness Index 2024
South Sudan,18.58,11.04,19.74,24.96,2024,Oxford Insights Government AI Readiness Index 2024
Sudan,24.63,13.32,24.29,36.28,2024,Oxford Insights Government AI Readiness Index 2024
Tanzania,35.08,36.64,20.98,47.62,2024,Oxford Insights Government AI Readiness Index 2024
Togo,31.32,31.21,20.82,41.92,2024,Oxford Insights Government AI Readiness Index 2024
Tunisia,43.68,28.62,41.07,61.35,2024,Oxford Insights Government AI Readiness Index 2024
Uganda,34.63,35.57,22.23,46.1,2024,Oxford Insights Government AI Readiness Index 2024
Zambia,41.87,60.78,23.22,41.63,2024,Oxford Insights Government AI Readiness Index 2024
Zimbabwe,32.59,23.69,27.82,46.27,2024,Oxford Insights Government AI Readiness Index 2024
