"OVERALL GOVERNANCE for Algeria, and 53 others","=HYPERLINK(""https://iiag.online/data.html?v=uLpgQPbV"", ""iiag.online"")",,,,,,,,,,
,,,,,,,,,,,
Location,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Change '14-'23
Zimbabwe,45.5,46.4,46.8,46.7,47.2,47.2,47.2,47.1,47.6,47.1,1.6
Zambia,53.1,54.0,53.2,53.3,52.5,51.5,50.6,51.7,56.0,56.6,3.5
Uganda,50.9,51.3,50.6,50.6,50.8,50.4,49.6,48.9,49.0,49.1,-1.8
Tunisia,65.9,65.5,65.0,64.9,65.9,66.8,67.6,65.5,62.2,61.2,-4.7
Togo,49.6,50.3,50.4,50.0,50.5,51.7,53.3,53.7,53.9,53.8,4.2
Tanzania,55.2,56.3,56.5,56.5,56.4,57.3,57.7,58.4,57.9,58.2,3
Sudan,30.0,30.3,30.7,31.6,31.3,32.4,33.9,33.2,31.9,29.6,-0.4
South Sudan,19.8,19.2,18.7,18.1,18.7,18.8,18.4,19.6,18.6,19.0,-0.8
South Africa,67.3,67.1,67.1,66.8,66.5,66.5,66.4,66.2,66.0,65.9,-1.4
Somalia,18.7,19.2,19.0,21.3,21.1,21.7,22.0,23.9,24.5,25.5,6.8
Sierra Leone,46.6,47.2,49.0,50.4,52.8,51.9,52.1,52.9,53.3,53.0,6.4
Seychelles,65.3,67.1,68.1,68.2,71.8,72.8,74.5,74.8,75.2,75.3,10
Senegal,60.5,60.8,61.4,61.1,61.1,61.0,61.2,60.7,60.4,60.2,-0.3
Sao Tome and Principe,58.5,58.1,59.0,59.6,59.7,60.1,60.1,59.4,59.1,59.2,0.7
Rwanda,57.9,58.3,58.8,58.9,59.2,58.9,59.1,59.1,59.4,58.7,0.8
Nigeria,47.1,48.3,48.7,47.9,48.4,47.6,47.2,45.7,45.6,45.7,-1.4
Niger,50.4,50.0,48.6,48.2,47.6,48.5,48.5,48.7,49.0,47.9,-2.5
Namibia,67.2,67.1,66.2,65.2,65.2,64.2,63.6,63.3,63.6,63.9,-3.3
Mozambique,49.6,49.7,49.8,49.9,50.8,50.5,50.3,50.3,49.2,49.0,-0.6
Morocco,56.7,57.2,57.8,57.5,57.7,58.7,60.3,61.9,61.5,62.0,5.3
