Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1961","1961","kg/ha","587.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1962","1962","kg/ha","601.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1963","1963","kg/ha","600.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1964","1964","kg/ha","613.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1965","1965","kg/ha","629.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1966","1966","kg/ha","644.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1967","1967","kg/ha","657.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1968","1968","kg/ha","632.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1969","1969","kg/ha","621.7","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1970","1970","kg/ha","627.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1971","1971","kg/ha","618.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1972","1972","kg/ha","676","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1973","1973","kg/ha","614.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1974","1974","kg/ha","608.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1975","1975","kg/ha","668.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1976","1976","kg/ha","680.7","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1977","1977","kg/ha","677.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1978","1978","kg/ha","659.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1979","1979","kg/ha","636.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1980","1980","kg/ha","620.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1981","1981","kg/ha","651.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1982","1982","kg/ha","641.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1983","1983","kg/ha","655.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","1984","1984","kg/ha","651.4","E","Estimated value",""
